"link","recordID","timestamp","pwa","cer","fulltext_org","pageUUID","editionUUID","titleUUID","editionId","familyId","newspaper_page","newspaper_edition","lplace","location_name","location_coordinates"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A659a1b56-33c5-4cb2-81d2-62d6b694a6a7","doms_newspaperCollection:uuid:659a1b56-33c5-4cb2-81d2-62d6b694a6a7-segment_1","1881-01-08T01:00:00",47.2,0.528,"fjaf? Lodsedler til 4de T-ækoing senest Ilte dennes ca til del sjcrllandske og lolland- falgcrske Varelotteri senest førstkommende 5te ficbruar M t51,r Vui-hutf Til (roesning paa den tor lagte Lammefjord modtages til Somme- ren 1881 . Htlt- jer 30 Kr. pr. Sil. 3acrs Plage ... „ 25 M — 2aar« do. ... „ 20 „ — laar« to. ... . 18 „ — Loxent Horoqvæz „ 25 . — 2aar« de. „ 20 m laars to. . 15 „ — !la-r 4 „ Lam 1 — 11!« Kreaturer holde« lej«, og har det »list sig. al Plage og Ultgqvæg voxe og uboiklt sig fortrinligt. yderligere Oplysninger medteles paa Aor- langende. Avdebo pr. Holbek, i Januar 1881. Johannessen","doms_aviser_page:uuid:659a1b56-33c5-4cb2-81d2-62d6b694a6a7","doms_aviser_edition:uuid:1817961f-8b96-4df9-ac7f-4040b3f738e7","doms_aviser_title:uuid:746bbf4f-098b-4a02-bc42-2a9ac1cc1a1d","kalundborgavis1857 1881-01-08 001","kalundborgavis1857","4","1","Kalundborg","Lammefjord\nAvdebo","11.5072595556,55.7762769697\n11.6548266674,55.7847364392\n11.638628132,55.7626853367"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3Ac936fe64-d1fe-4542-95c6-51134671ed34","doms_newspaperCollection:uuid:c936fe64-d1fe-4542-95c6-51134671ed34-segment_1","1881-01-10T01:00:00",51.2,0.488,"Udsalget,\nEkomagergade 4fT Roskilte.\nfra\nTil GrerSawg paa den torlagte Lammefjord modtages tit Sommeren 1881 : Heste . daaiS Plage . . . Zaar« do. . . . laarS do. . . , Vozenl Hornkvæg Zaar« do. laar« do. Saar Lam ....... for 30 Kr. pr. Sit for 25 Kt. — for 20 Ør. - for 18 Jtr. — for 25 Kr. — for 20 Kr - for 15 Kr. — for 4 Kr. - for 1 Kr.\nAlle Kreaturer holde« l«se, og har det »lift sig, al Plage og Ungkvæg voze og udvikle sig fortrinligt. Bderligere Oplysninger meddele« paa stor. langende Avdedo pr. Holbæk, I Januar 1881. Johann esse«.\n3 ®. i .Holb. Av.- og .ftjsg. Av."" «n ftor, fiarrk Pige. som bliver konst.. merrt til Paaske, onste« III Mal anb.az I et HuuS, hvor hnn kan være Huus.\nmoderen behjælpelig med All. Lon svr. lange« Ikle. Man brde« henvende stg til A Hartvigse«. KarenolSdatlerftrædr. Roskilde. 1 ». i I . stftn soit, glalhaarrl Honsrhund er bortlobel sra Forpagter Zacobsen, Aagerup, til hvrm mulig Underretning om den bede« sendt.","doms_aviser_page:uuid:c936fe64-d1fe-4542-95c6-51134671ed34","doms_aviser_edition:uuid:0553c869-6267-4347-b56f-6c896f817fd4","doms_aviser_title:uuid:23e8d7ac-a529-4f92-9cad-2d6764afb27d","roskildeavis 1881-01-10 001","roskildeavis","4","1","Roskilde","Holbæk\nLammefjord\nRoskilde","11.7159401367,55.7079649119\n10.4244066136,57.2512678127\n8.87957485193,55.2210975713\n11.7081588818,55.7153820133\n10.2997929664,56.5521551273\n8.82905923349,55.1829989506\n11.5072595556,55.7762769697\n11.6548266674,55.7847364392\n12.0887466352,55.6385986962\n12.0947315869,55.6471682801"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3Acf051d96-2240-4b1f-9a1a-49081dcb8855","doms_newspaperCollection:uuid:cf051d96-2240-4b1f-9a1a-49081dcb8855-segment_5","1881-01-13T01:00:00",50.2,0.498,"fra Maren Pedersdatter til Peder Nielsen paa Mair. Nr. 13 i Atnldore. — Mageskifiebrev af 30le Juni s A. fra IenS Matftn til LarS Prdersrn raa Mair Nr. 3» i Pleierup — Do. af 13de f. M. fra Lars Pedersen til IenS Jensen paa Malr. Nr. 34 i Pleierup. — Skjode af 8de Juli f. A. med Paategning as lue s M. fra NielS Nielsen til Niels Nielsen paa Mair. Nr. 22 og tik i Honsinge — listige læst lom t'.irilsiiflende for Aflægt af Værdi 931 Kr. 90 Ore med Pr. i Mair. Nr. 22 efler 400 Kr. tit SialS kassen og et kb. Laan af offentlige Midler i Mair. Nr. 6l efter Gjælten til Stat«« kassen. — Arvefæsttskjodt af 2 Ide Otltr. s A. fra Hans Andersen (il Jens Hansen paa Mair. Nr 9 i Asmindrup og Malr. Nr. 4 i Sven- sti up Heuebuvo. — Skjode af 1 5de s. M. fia Akiieselskabel til Lammefjordens Dorlægning til (hind. HanS Hansen l aa Matr. Nr. 9 af Lamme- fjorden i Asnæs Sogn. — S kiode af 14dr f. M. fra Samme ti! IenS Ande.srn paa Mair. Nr. 10 af Lammefjorden i Asnæs Sogn. — Skjodc as 14de s. W. fra Samme lil Sivert Madsen paa Matr. Nr 11 af Lammefjorden i Asnæs Sogn. — Skjode fra Samme til Hans Ankersen paa Malr. Nr. 14 af Lammefjorden i Asnæs Sogn. - Skjode af 13de f. M fra Samme til C. Clausen ,paa Malr. Nr. 9 as' Lammefjord » i Horre Sogn. — Skjode ar 22 s. M. fra Anders Jensen tit Mads Clausen paa Mair Nr. 23a, 10 4 og 8k i FoUrslov.","doms_aviser_page:uuid:cf051d96-2240-4b1f-9a1a-49081dcb8855","doms_aviser_edition:uuid:16fff479-d7cf-44cf-a56e-6f52353b1170","doms_aviser_title:uuid:6ccb2033-cee9-46ae-85e6-17bf603804dc","nykjoebingavis 1881-01-13 001","nykjoebingavis","3","1","Nykøbing S","Asnæs\nAsmindrup\nOre\nLammefjord","11.5000507525,55.8086292856\n11.4992853743,55.8123750244\n11.1878966911,55.6792889624\n10.7195424589,54.813009651\n10.5184355137,55.2963129174\n11.2093857571,54.8021393816\n12.0679776145,54.8831855536\n10.0361245542,55.5086450783\n11.867651022,55.0090391493\n11.5072595556,55.7762769697\n11.6548266674,55.7847364392"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A1f6af87d-fedb-475c-a305-7bc4e200f86d","doms_newspaperCollection:uuid:1f6af87d-fedb-475c-a305-7bc4e200f86d-segment_1","1881-01-15T01:00:00",44.5,0.555,"tf'h y""gre stz'.r«t?.wg>'mznd. ber forer titler fsr Uiu! oeaxtre tg Kjsdmcrnd i Pro. viudferue vg har et udmæ> ker ga-.r oistigi Localr i Byen« 'Pkidle samt e d'e! Tid ttl DiSpdsttso , loger snarest ea tller anden cou« rant Arttkel i iZonsignmton eller en Foiret. ningSma 'd. der vil eele Locaie me? Vidkam. meode. Nlraudemmtet vilde syecielt paSsefar en lsigenl, der desoger Urlekrremmere og som forer La -er a enk!i-e Artikler, da havs OrdreS let ville kun. c effectueres uden tzdeUigere Om. koftam g-r. i lille, mrk 164, modts er detle Blads iLontoie. Artek amforretnin«. Sa i Drik: vcennde Urtekramforretntrg fo'S til iste Matte elltr senere eller i Mangel deraf en Boutil hour en faarav med Held kan drivcs. Øitlet, mrk 1385. bede' indlagt paa deue BladS Cvaloir. Pladsagent. »n hervcr e rse V.inf?rretning fsger en dyz. tig Provistoni a;eat, som tT godt f jtnfct r cd Forhandlerne. Billet, mrk. 9, indloeggee paa dette Blads Contoir.\n17 25\n12 50\nWedcll-WcdrUSborg. Borsauetion. V»rdipapirør f\nTovdda««« den »Ode Jantsae »SlMl Ski. 2 , bortsæ'gør Undertegnede far Vedkomraendes Regning ved oHentlig Aaction paa Kjøbenbavns 8ør» følgende Vardi- effecter : Kr. 42,000 Actier i Dampskibsselskabet „Nybsrg"". — i Acti«slskabit „Sveudborgsund. — i S/dfenvke Oampskibiselskab. — i Seil og Dampskibisolsksbet af 1873. — i Herning Hede- og Discooto-Bank. — i Actieselskaoet til Lammefjorden? Tøflagcing. — i Søvang-v — i Kjø:»enbavas SaUvierker. — i D« Romerske Bade i Kjøbenhivo. — i do. do. i do. I) 2> 3) 4) 51 6) 7) 8) 9) 10) 42,000 600 10,000 2 000 10 000 24,000 8 200 800 200 1,400\na\na\nII) 12)\na\na\n300 900\n13) 14) 15) 16) 17) 18) 16)\n20) 20\nIndustridrivende i\n1868.\nDen gjenfidtge HeKejorfikkrmgswxelNNg for H;edSAhavu med Forstlrder og kcrederNSbeM 'S\na\nHEgleflabStUbud. En dannet, ung Mand, 80 Aar, i en smuk BosstMng Lp med Form .e, enle: ak iadgaae «atcstab med ert II F, UtUg 0,3 dannet ung Dame, dtt si uflkaN. Fvr-sue sorlznges Ikke. men er s-lflcl g For sl indlede Vekjendtfiab Sedes Billet, .ark Op Ig'.jztzed 1360, .ned rsd vendlge Oply uing?: .3 Phvtoc.sphi indlagt paa dette BttdS t of 10 4!) age. Lauvri fstus;;. ién usrrs Til- forte m g f-gcr ftlop en dyg. lic. Hrooisti-a r?-stod lu befsze? Laudhind. »nbe'pua Sfcrllan >, Fren og Lerne; helst an-Tø ea Mand, fw Æ e reFer fsr Iste Ss'eS Hu;- i a..sre . .a chcr. Btllek, mrk. 2100. mos.andctte B adS Eontoir. tkisesei&knb lis Paris - |.in„ar eller Februar 0 skes af en ældre, ilaniiet hariic som rei er for Studier, men ikke er hjemme , det We Sprog. Billet, mrk. ttlUhapa, hedes ""odhedsfuldt indleveret paa Oresunds- iPmntrii- Coiiton i (11. 086 J","doms_aviser_page:uuid:1f6af87d-fedb-475c-a305-7bc4e200f86d","doms_aviser_edition:uuid:342362df-4c5f-4745-a04d-a7faca13ba8c","doms_aviser_title:uuid:a281e141-ca90-4634-ac4e-0743bb41bc35","berlingsketidende 1881-01-15 001","berlingsketidende","8","1","København","Søvang\nHede\nHerning\nParis\nByen","9.03898233195,54.9781079957\n8.70898184673,56.4747771926\n12.6150865704,55.5707638727\n8.28374591372,56.439917553\n8.97969554364,56.1327621449\n8.48985059238,56.5142124559\n8.39276925385,55.4329764527"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A370cf5d8-7d9f-4ba8-b646-d4c8df5a39b4","doms_newspaperCollection:uuid:370cf5d8-7d9f-4ba8-b646-d4c8df5a39b4-segment_4","1881-01-15T01:00:00",62.6,0.374,"Heste 3aars Plage . . . 2aars do. . . . laars do. . . . Voxcnt Hornkvæg 2aars do. laars do. Faar Lam\nTil lailrsninfl paa den tor- lunte Lammefjord\nmodtages til Sommeren 1881: for 30 Kr. pr. Stk. for 25 Kr. — for 20 Kr. — for 18 Kr. — for 25 Kr. — for 20 Kr. — for 15 Kr. — for 4 Kr. — for 1 Kr. — Alle Kreaturer holdes lose, og har det vist sig. at Plage og Ungkvæg voxer og udvikler sig fortrinligt. Merligcre Oplysninger meddeles paa Forlangende. Avdcbo pr. Holbæk, i Jannar 1881. (94) - Johannessen.\nNrtckramhandel\nbedes havet i venlig Erindring. Ndfogtc varer! villige Priser! i 102) RingsteS »g ©inegns storste Loger af\nPorcellwn, Mas, fajance. Elektroplet, Mbsfinurer samt Lervarer\ner hos Frits Storch, (103) Ringsted.","doms_aviser_page:uuid:370cf5d8-7d9f-4ba8-b646-d4c8df5a39b4","doms_aviser_edition:uuid:1403b2e6-2f64-42be-ab64-1e8f4f065a5d","doms_aviser_title:uuid:53bbdaf9-fdf9-4ca5-a8fa-fe2696ca0980","dagbladetringsted 1881-01-15 001","dagbladetringsted","3","1","Ringsted","Holbæk\nRingsted\nLammefjord","11.7159401367,55.7079649119\n10.4244066136,57.2512678127\n8.87957485193,55.2210975713\n11.7081588818,55.7153820133\n10.2997929664,56.5521551273\n8.82905923349,55.1829989506\n11.7865717336,55.4380297704\n11.7981254442,55.4446609467\n11.5072595556,55.7762769697\n11.6548266674,55.7847364392"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A622490fa-70c0-423a-bfaa-c963edb2523d","doms_newspaperCollection:uuid:622490fa-70c0-423a-bfaa-c963edb2523d-segment_2","1881-01-15T01:00:00",46.0,0.54,"Bsrsmiclioll oder »trbipapircr.\nMavdagcn den Z7de Januar førstk., , Nftcrm.. l-orksalgc« sor Bebfom- mendeii Regning ved Auction par. Borfen følgende Sffecler: 10CO Lr. Aclier i Lyngby GlaSvarf, 2000 «r. bo. i Magle llttølle, 1000 Sr. da. i bo., Vrescreneø-, 400 Kr. dv. i Zavlog'sl Hav«, 400 Sr. fcu. i Kjøbrnyavns SaUvocrksr, 1000 Kr. do. i Dvlfsclfl. „Dana"" (Hel, singsr), 400 Kr. dv. i Kjøbenhavns JSopla?, 1000 Kr. do. i Kkøløisfcdrifen, 1000 »r. do. i do., 1000 Kr. do. i S-vauz, 1000 Kr. do. 1 do., 3000 $c>. do. i do., 4 Stfr. a5Kr. do. i Swaa Drikkchaller, -ILO Kr. do. i Kovgehøi Hammervarf, 200 Kr. dv. i Rom. Bude, 4000 Kr. do. i Lammefjorden, 400 »r. dz. i de., 2 Sikr. 400 grcS. 3 vCt Ty'fifl Prawie- Obligat., 1 Stf. 400 Frcs. do. do., 6 Btkr. 500 KrcS. 6 piit. dv. af Laan 1869, 2 Slfr. 10 Francs moilandfle Pram. Lodder. Effecter og Conditioner tre til Eftersyn paa mit Contoir, St. Kannikestrccde 15. Ole Acnsen. Overretssagfører.\n9\nføl\nAredagen de« Lide Januar følstk.,\novm. m. 30 oø Efterm. <tl. H ep\nølgende Dogr blive ved »urttvrr, fvw af-\nholdes i Kiel« Juel« Wade «, Stueu over Gaardcn, bortsolgt endeel ved Exeen«\ntion udlagte og flere DodSboer ttlhorende Mabogui-, Koddetreees- oa andre Men« bler o ' Effeeter, ynosos lfremhaves: Ege- troee«-Buff»t, et Dvcumeniflab. Skrive- borde, iklrrbestabe, en Disk og Keel\nmed Skufler. Diskvergt med Lodd?r, Maal,\nSpise-, Spille- Dina«, og and«-. Nor Ae Senge. G-ngkt«eder. Sovesopbaer, Sopbaer, httynge-, L«ne- og and?. Stole,\nen Svmastiue as Henrifsenø gabrtk, en\nBrandstige, ca. 10 Al. lang en Brand- hage, il?oddetr«es Sybord, Skilderier,\net HnuSapoksek, F a»qantis?e itzaslam-\nper med guppel og G>os Tr« og l3ern«\nflotter, Legetøi, 2 cbemiste Fyrtoier f a Thlkir« Fabrik, 7«0 PV. Kaffetilfortoing, nogie gode »igarer, fam: en Jern-\nDreioba-uk med Forsaetter, en god Biolin med Bue i Kasse, 2 Kakkelovne web Kogeindreiuiuq. en Traekkevagn, et Silcrdes Slag med Graavrrrksfoer og B-soetning. Efterm l. k» salcie« endeek ved Execu- tion udtngte Monnfacturvarer, hvoraf flemhoeoeS: 2 Pd. fort Sysilke, 3» Pd. Uldgarn S Pd. Bomuldsqarn, « Stkr. Dowlas en Asfist-ntshuusfed- del paa S Pd. S-lke. O Stkr. Koer- linon IS Stkr, Tarlatan, sortFioil, Madapolam Judia Twill, couleurt Shirting Piquet Deciler, flonel, sone og coul. Kjoietoicr Sirtser Mull, Jacouet, Shawler, Blouder, autasi- fjer m. m. Att mov -Perating ttl Unfcetrcg« nede, paa hv'.S Csvtvir Lstoleger fases Dagen fer Auctionen.","doms_aviser_page:uuid:622490fa-70c0-423a-bfaa-c963edb2523d","doms_aviser_edition:uuid:342362df-4c5f-4745-a04d-a7faca13ba8c","doms_aviser_title:uuid:a281e141-ca90-4634-ac4e-0743bb41bc35","berlingsketidende 1881-01-15 001","berlingsketidende","16","1","København","Lyngby\nRom\nEge","9.79345731836,56.2247744158\n10.0401632509,56.8436842609\n10.7445228475,56.3664157618\n8.31267825722,56.8694741177\n8.36255040988,55.8567126927\n9.1938666308,55.842998813\n10.042708593,56.1708014995\n9.75383120137,57.4005340992\n10.1468686071,57.3407021087\n9.23751020417,56.0992288801\n9.2485265119,55.9551067924"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A2c1fa010-da09-4247-b3b7-698dc3d7949d","doms_newspaperCollection:uuid:2c1fa010-da09-4247-b3b7-698dc3d7949d-segment_28","1881-01-17T01:00:00",44.3,0.557,"Ilonanktion. licrdipapirer.\nTorsdagen den 2(lde Januar ISHI. KL 9 , Lnderteguede for Vedkoinmendes Regning ved offøntiig A akt havns Bors følgende Værdiefiekter :\n,, horte«alg«r øaa Kjøbeu-\no\nKr. 4,200\nAktier i Dampskibsselskabet rNjborg"". 2) — 600 — i Akt'eselskabet „Svendborgsund"".\na\n3) — 10,000 — i Sydfynske Dampskibs -elskab.\na\n4) — 2,000 — i Sejl- og Dampskibsselskabet «f 1873\na\n5) — 10,000 — i Herning Hede- og Diskonto Bank.\na\nH) — 24,000 — i Aktieselskabet til Lammefjordeas Tørlægaimg.\na\n<) — 8.200 — i ..Søvang.\na\n8) — 800 —\na\ni Kjobenhavn« Saltværker. y) — 200 — i De Romerske Bade i Kjøbenhavn\na\n10) — 1.4« 10 — i do. do. i do.\na\nii) — 300 — i » Løven"".\na\n12) 900\ni Kreditforeningen for Haandvæikere og l«d«stri>eade i Kjobenhavn. 13) — 2,000 — i det Loll. Engelske Dampskibsselskab\na\n14) — s. Hl — i Den zoologiske Have vi d Kjøbenhava\na\n15) 2 Stkr. Aktier å . >0 Ki i Kjobenhavns Hippodrom.\n16) 27 — Partialobligationer i .Hotel Phønix"", dat. 30te Dccbr. 1861 17) Kr. 8(KKl Aktier i Nørrebros Sporvejsselskab. 18) — 2200 19) 3 Stkr. 10 Frcs. 2"") 4 — 4;» — 21) 6 — 15 — Effekterne Kontor. Højbroplads i Det nordsjællandske Dampskibsselskab Maiiaudske Præmielodder. do. do. Freiburger do. og Konditionerne er« til Eftersyn paa 12 i Stuen. Hjørnet af Gamiue'.strand. Undørte »j ede«\nHoph. Bang. Velelm æg ler.\na","doms_aviser_page:uuid:2c1fa010-da09-4247-b3b7-698dc3d7949d","doms_aviser_edition:uuid:e0537bd1-4cd2-4a7d-afc6-a7901ee2ddea","doms_aviser_title:uuid:d55892ba-d236-4e90-bb83-4454b3c3607d","dagbladetkoebenhavn1851 1881-01-17 001","dagbladetkoebenhavn1851","4","1","København","Søvang\nHede\nHerning\nStuen\nHjørnet\nNørrebro","9.03898233195,54.9781079957\n8.70898184673,56.4747771926\n12.6150865704,55.5707638727\n8.28374591372,56.439917553\n8.97969554364,56.1327621449\n9.0788517671,57.1405839079\n8.22298370274,55.5787928914\n10.2591717882,56.9251610015\n12.5527683311,55.6981668804\n12.5378125408,55.7005683437"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A2eaa716c-e667-43fe-9dc0-3c2693a79cb7","doms_newspaperCollection:uuid:2eaa716c-e667-43fe-9dc0-3c2693a79cb7-segment_3","1881-01-17T01:00:00",46.2,0.538,"Tarsdagei, dsn 20de Jannair V81I, »I 2 r, bortsælger Undertegnede for\nVedkommendes Regning ved offenlig Auction paa K jøbenhavns Brs felgende V ærdiellccter: 1) Kr. 4,200 Actier i Dampskibsselskabet „Nyborg"". 2) """""" - 3) 4) 5) Actieeelekabet „Svendborgsund"", i Sydfyen?ke Dampskibsselskab, i Seil- og Dampskibsselskabet af 1873. i Herning Hede- og Disconto-Bank. 600 10.000 2 000 10,000\n6)\n7)\n8)\n9) 10)\n11)\n12)\n— 1\ni Acticselakabet til Lammefjordens Tørlægning, i „Søvang"". i kjøbenhavns Saitværker. i De Romerske Bade i Kjebcnhavn. i do. do. i do. „Løven. i Creditforeniugen for Haandværkere og Industridrivende i Kjø- benhavn. 13) — 2,000 — i Det Loll.-Engeleke Dampskibsselskab. 14) — 800 — i Den zoologiske Have ved Kjøbenbavn. 15) 2 Stkr. Actier a 50 Kr. i Kjøbenhavns Hippodrom. 16) 27 — Partialobligationer i „Hotel Phønix"", dat. 30te Decbr. 1868. 17) Kr. 8000 Actier i Nørrebroes Sporveisselskab. 18) — 2200 — i Det nordsjællandske Dampskibsselskab. 19) 3 Stkr. 10 Frcs. Mailandske Præmielodder. 20) 4 — 45 — do. do. 21) 6 — 15 — Freiburger do. Effectcrne og Conditionerne ere til Eftersyn paa Undertegnedes Comptoir, Høibro- plads 12, i Stuen, Hjørnet af Gammelstrand. 24.000 8.200 800 200 1,400 300 900 2.000 800\nSopk. Kang,\nVexelmrrgler.\na\na\na\na\nBon i fltohfa. En ulykkelig stillet, yngre Mand beder eu Aelgjo- rer om et Lauu as 3, Kr. Han enfler at lære st rulle Cigarer. Billet, mrkt. 1 698, bedeS indlagt paa AdreSsecomvtoiret snarest mulig. mm Ajll'ud. For 360 Kr. kan erlwlteS cn rejpectabel Lev:- vci, som giacr ca. 2000 Kr. aarlig. DriitSkapi- tal bchovcS ikke. AnvifcS fra Klosterstræde 8, i Stuen. , En Bevs?rtninp! med Billard kan overdrages cn solid Ma?d poa me- gel billig: Betingelser strar eller til April. Norre- sarimagsgc.de 29. En midaldrende, noget svagelig Dame onsicr sig i Huset hos en dannet, mindre Familie eller Enke. Der onfleS eget Bærelse, fuld Kost, LvS, Barme og Bast. Om Værelset er meubleret eller ikke, er ligegyldigt. Billet, mrkt. 1672, med for- nodne OplvSuinger og billigste Leie. bedeS ind- lagt paa Adressecomptoiret.","doms_aviser_page:uuid:2eaa716c-e667-43fe-9dc0-3c2693a79cb7","doms_aviser_edition:uuid:ec87134b-99a5-4dbd-8b84-950e2d24c419","doms_aviser_title:uuid:737043ed-d5b0-452b-894e-236532486e24","adresseavisen1759 1881-01-17 001","adresseavisen1759","3","1","København","Stuen\nSøvang\nNorre\nNyborg\nHede\nHerning\nHjørnet","9.0788517671,57.1405839079\n8.22298370274,55.5787928914\n9.03898233195,54.9781079957\n8.70898184673,56.4747771926\n12.6150865704,55.5707638727\n11.4042964998,54.7321627491\n9.52842602338,55.8148362943\n10.7887027026,55.3174675437\n10.3322936449,57.2851420463\n8.28374591372,56.439917553\n8.97969554364,56.1327621449\n10.2591717882,56.9251610015"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A29e26ef2-a48c-4e0b-b5ad-ecaa6e0befed","doms_newspaperCollection:uuid:29e26ef2-a48c-4e0b-b5ad-ecaa6e0befed-segment_9","1881-01-18T01:00:00",52.6,0.474,"Borsiiuktioii. Værdipapirer.\nTorsdagen den 20de Januar 1881 kl. 2 '/» bortsælger Undertegnede for Vedkommendes Regning ved offenlig Auktion paa Kjøbenhavns Børs følgende Værdieffekter : 1) Kr. 4,200 Aktier i Dampskibsselskabet „Nyborg"". i Aktieselskabet „Svendborgsund"". — i Sydiyenske Dampskibsselskab. — i Seil- og Dampskibsselskabet af 1873. — i Herning Hede- og Diskonto-Bank. — i Aktieselskabet til Lammefjordens Tørlægning. — i ..Sovang"". — i Kjøbenhavns Saltværker. — i De Romerske Bade i Kjøbenhavn. — i do. do. i do. — i ..Løven"", — i Kreditforeningen for Haandværkerø og Industridrivende i Kjobenhavn. — i Det Loll. -Engelske Dampskibsselskab. — i Den zoologiske Have ved Kjøbenhavn. 2 Stkr Aktier å 50 Kr. i Kjøbenhavns Hippodrom. 27 — Partialobligationer i „H6tel Phønix"", dat. 30te Decbr. 1868. Kr. 8,000 Aktier i Nørrebroes Sporvejsselskab — 2,200 — i Det nordsjællandske Dampskibsselskab. 3 Stkr. 10 Frcs. Mailandske Præmielodder. 4 — 45 — do. ' do. 6 — 15 — Freiburger do. Effekterne og Konditionerne ere til Eftersyn paa Undertegnedes Kontor, Høibroplads 12 i Stuen, Hjørnet af Gammelstrand. Soph. Bang, Vexelmægler. 2) - 3) - 4) — 8 - 7) - 8) - 9) - 10 - 11) - 11 — 13) 14) 15) 16) 17) 18) 19) 600 10,000 2,000 10,000 24,000 8,200 800 200 1,400 300 900 2,000 800 20) 21)\na\na\na","doms_aviser_page:uuid:29e26ef2-a48c-4e0b-b5ad-ecaa6e0befed","doms_aviser_edition:uuid:681c2062-d86e-4971-868f-ff91e7db23b9","doms_aviser_title:uuid:57c2674d-a53d-4698-927a-97f01ea604a3","dagensnyheder1868 1881-01-18 001","dagensnyheder1868","4","1","København","Nyborg\nHede\nHerning\nStuen\nHjørnet","9.52842602338,55.8148362943\n10.7887027026,55.3174675437\n10.3322936449,57.2851420463\n8.28374591372,56.439917553\n8.97969554364,56.1327621449\n9.0788517671,57.1405839079\n8.22298370274,55.5787928914\n10.2591717882,56.9251610015"
"http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A9cb3ec78-10d1-4e34-ac26-cf352418bdb1","doms_newspaperCollection:uuid:9cb3ec78-10d1-4e34-ac26-cf352418bdb1-segment_16","1881-01-18T01:00:00",44.0,0.56,"i cti«slskabet „Svendborgsuod"". i Sydf/euske Dampskibsselskab, i Seil og Dao>pskib«s«lslubet af 1873. i Herning Hele og Disconto-Rank. Actieselskaoet til Lammefjordens TørUgoing. i „Søvang""'. i Kjøbenhavns Saltvaerkør. i Da Romerske Bade i Kjøbenhkvn. i do, do. i do. i „Laven"". i Creditforeningen for ;Haaudværkere og Industridrivende i Kjøbenhavn. 13) — 2,000 — i Det Loll.-Kcgalske Dampskibsselskab. 14) — 800 — i Den zoologiske Have ved fejooenhavn. 15) 2 Sikr. Actier å 50 Kr. i Kjøbenhavns Hippodrom. 16) 27 — Pariia'obligatione' i „Hotel Phønix', dat. 30te Decbr. 1868. 17) Kr. 8000 Actier i Nø rsbr.oss Sporveisalskab. 18) — 2200 — i Det nordsjællandske Dauipskibeselskab. 19) 3 Sikr. 10 Frcs. Msdandske Præmielodder. 20) 4 — 45 — do. do. 21) 6 — 15 — Freiburger do. FflVcterne cg Cooditionerne «re til Kf'.trsya paa UndartcgBedss Conloir, Høibiø- plads 12 i S?u; n, Hjørnet $t Gainmelst'-and. Bnpti Bng, Veielmaifil«r. "" Daiisi GiasftsrsHtkriiigsseiskaa loniitrs? mod pst æ-» «<«» og til Kovadeontotr ""'rdej"" setr »o««ø4»»»s<ø tst, 84 TløsiiitalsførsikrliB? for Tyende Kjøbenhavns »v««-»»4.»ae s)?si,e»v-r»de 2 2de o Sal Hi »t n i, c Wristiiuiht- o g M-ud irorr.intng « billt« titfala fitvr. l£n iPeapr.&tt, som fin r,!«po jmc vv-r dia røboenbire ©ti' SCipiial, k.n t-«toib faac rn Ind ægt raa 4 a CO' 0 fer. oaritg. Billet, ntif. 284, e>cd oe-r fentt SDat-0 Hor.iotr. ©i qvd Bev«rt-rtng o, SiW-M te til Sstaaetfe biiftgt. jlnotfes i Absalonsgade 27 i Papirdru ike I Npvthtk. St udwce ket fcm>»>ra 'o<0«f cOTdbt inkretlf med saa pet? som ""y? ygn'nge«, kan erhntneS ttlkl'dS CcmMiSN? ot'S M,Uemtonft Ud- b - j attna 50,000 »i »tO<t, m>(. 33"".2 U. modtag-r delte B'ads »snr-te tv» ea 8 v gr. To Oificeree","doms_aviser_page:uuid:9cb3ec78-10d1-4e34-ac26-cf352418bdb1","doms_aviser_edition:uuid:a35afeb5-8815-4103-a763-036ebb5c6fc0","doms_aviser_title:uuid:a281e141-ca90-4634-ac4e-0743bb41bc35","berlingsketidende 1881-01-18 001","berlingsketidende","8","1","København","Søvang\nHerning\nLaven\nHjørnet","9.03898233195,54.9781079957\n8.70898184673,56.4747771926\n12.6150865704,55.5707638727\n8.97969554364,56.1327621449\n9.71746305609,56.1246788155\n9.7163640806,56.1252692195\n10.2591717882,56.9251610015"
